FOLIO,CONCESIONARIO,K_GRUPO,GRUPO,ANIO,MES,FECHA,K_EMPRESA,EMPRESA,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_AMBOS_E,S_NO_ESPECIFICADO_E,S_TOTAL_E
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2016,4,15APR2016,C0378,MEGACABLE,4249,137,,,4386
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2016,5,15-may-16,C0378,MEGACABLE,4472,141,,,4613
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2016,6,15-jun-16,C0378,MEGACABLE,4501,164,,,4665
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,1,15JAN2013,C0611,ULTRAVISION,43962,,,,43962
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,2,15-feb-13,C0611,ULTRAVISION,43098,,,,43098
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,3,15-mar-13,C0611,ULTRAVISION,43436,,,,43436
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,4,15APR2013,C0611,ULTRAVISION,42862,,,,42862
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,5,15-may-13,C0611,ULTRAVISION,42478,,,,42478
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,6,15-jun-13,C0611,ULTRAVISION,42614,,,,42614
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,7,15-jul-13,C0611,ULTRAVISION,42395,,,,42395
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,8,15AUG2013,C0611,ULTRAVISION,41864,,,,41864
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,9,15-sep-13,C0611,ULTRAVISION,41809,,,,41809
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,10,15-oct-13,C0611,ULTRAVISION,41814,,,,41814
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,11,15-nov-13,C0611,ULTRAVISION,41535,,,,41535
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2013,12,15DEC2013,C0611,ULTRAVISION,41903,,,,41903
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,1,15JAN2014,C0611,ULTRAVISION,40993,,,,40993
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,2,15-feb-14,C0611,ULTRAVISION,40466,,,,40466
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,3,15-mar-14,C0611,ULTRAVISION,40530,,,,40530
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,4,15APR2014,C0611,ULTRAVISION,40354,,,,40354
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,5,15-may-14,C0611,ULTRAVISION,40500,,,,40500
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,6,15-jun-14,C0611,ULTRAVISION,39076,,,,39076
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,7,15-jul-14,C0611,ULTRAVISION,38946,,,,38946
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,8,15AUG2014,C0611,ULTRAVISION,36696,,,,36696
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,9,15-sep-14,C0611,ULTRAVISION,35595,,,,35595
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,10,15-oct-14,C0611,ULTRAVISION,35075,,,,35075
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,11,15-nov-14,C0611,ULTRAVISION,33672,,,,33672
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2014,12,15DEC2014,C0611,ULTRAVISION,33284,,,,33284
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,1,15JAN2015,C0611,ULTRAVISION,32225,,,,32225
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,2,15-feb-15,C0611,ULTRAVISION,28623,,,,28623
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,3,15-mar-15,C0611,ULTRAVISION,27490,,,,27490
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,4,15APR2015,C0611,ULTRAVISION,27974,,,,27974
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,5,15-may-15,C0611,ULTRAVISION,27863,,,,27863
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,6,15-jun-15,C0611,ULTRAVISION,27431,,,,27431
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,7,15-jul-15,C0611,ULTRAVISION,26561,,,,26561
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,8,15AUG2015,C0611,ULTRAVISION,25854,,,,25854
100405,"ULTRAVISION, S.A. DE C.V.",C611,ULTRAVISION,2015,9,15-sep-15,C0611,ULTRAVISION,25065,,,,25065
